LA,Thing,Count
Wakefield,1132,1105
Wakefield,4159,1079
Wakefield,2314,967
Wakefield,4122,957
Wakefield,6125,886
Wakefield,1131,834
Wakefield,1259,754
Wakefield,8211,614
Wakefield,2317,603
Wakefield,3562,599
Wakefield,2135,569
Wakefield,6141,547
Wakefield,1181,525
Wakefield,2229,516
Wakefield,3219,488
Wakefield,2424,469
Wakefield,3543,452
Wakefield,9233,443
Wakefield,9260,441
Wakefield,2129,429
Wakefield,2423,425
Wakefield,2442,420
Wakefield,7219,417
Wakefield,7220,393
Wakefield,3542,367
Wakefield,2139,359
Wakefield,3132,354
Wakefield,3534,293
Wakefield,9219,289
Wakefield,2413,287
Wakefield,2462,278
Wakefield,3545,277
Wakefield,6121,274
Wakefield,1139,267
Wakefield,1242,254
Wakefield,5249,252
Wakefield,6146,247
Wakefield,3131,243
Wakefield,8125,242
Wakefield,3119,231
Wakefield,4129,226
Wakefield,6221,221
Wakefield,3113,218
Wakefield,8212,210
Wakefield,5215,205
Wakefield,1121,200
Wakefield,2134,198
Wakefield,4216,195
Wakefield,3239,195
Wakefield,4121,190
Wakefield,1184,179
Wakefield,4161,178
Wakefield,3520,173
Wakefield,8129,143
Wakefield,4215,137
Wakefield,3412,136
Wakefield,2311,135
Wakefield,5330,134
Wakefield,2211,125
Wakefield,9244,125
Wakefield,4133,122
Wakefield,2137,120
Wakefield,3539,118
Wakefield,3563,117
Wakefield,2122,108
Wakefield,5221,107
Wakefield,2112,105
Wakefield,3541,102
Wakefield,9272,98
Wakefield,2429,91
Wakefield,1136,86
Wakefield,5231,84
Wakefield,3531,84
Wakefield,6211,84
Wakefield,2443,83
Wakefield,1241,81
Wakefield,5314,79
Wakefield,5113,78
Wakefield,1133,78
Wakefield,4151,77
Wakefield,5241,77
Wakefield,5316,76
Wakefield,1122,76
Wakefield,3217,76
Wakefield,1162,74
Wakefield,9120,73
Wakefield,2121,72
Wakefield,5434,72
Wakefield,2123,70
Wakefield,6232,69
Wakefield,4212,66
Wakefield,3567,65
York,8215,35958
York,2231,4702
York,2136,1473
York,2433,1419
York,1259,1281
York,7129,1240
York,3544,1067
York,3545,1035
York,1181,874
York,1132,783
York,3531,763
York,2424,723
York,2217,718
York,1251,683
York,2121,681
York,2135,622
York,4159,578
York,1122,541
York,3113,467
York,2423,463
York,2129,459
York,3562,448
York,2139,426
York,3131,422
York,3218,413
York,3132,412
York,2436,409
York,7219,408
York,2311,397
York,3541,351
York,2221,328
York,2434,315
York,2137,310
York,1121,310
York,5241,271
York,2435,262
York,2122,261
York,6232,253
York,2134,247
York,5436,247
York,2431,238
York,5314,237
York,1225,232
York,7130,227
York,2413,218
York,9219,216
York,6131,214
York,2319,212
York,2126,206
York,4122,199
York,7220,186
York,3543,181
York,3116,181
York,3122,179
York,5315,178
York,3119,175
York,2123,174
York,9260,169
York,6141,159
York,3567,150
York,2213,149
York,6145,147
York,1133,145
York,5113,143
York,2216,137
York,2421,137
York,3412,129
York,4161,120
York,5330,119
York,6125,119
York,9233,118
York,4216,114
York,5223,109
York,2317,108
York,1135,107
York,9120,104
York,3542,104
York,3539,104
York,2461,103
York,1131,98
York,2462,97
York,1136,93
York,4129,92
York,4131,89
York,2211,89
York,5249,86
York,7111,83
York,4151,79
York,3112,79
York,2219,75
York,1162,74
York,3538,72
York,2426,70
York,4133,70
York,2429,69
York,6139,69
York,8129,67
York,8125,64
York,9241,64
York,4134,63
